"""næring (SN2007)"";""kvartal"";""statistikkvariabel"";""08771: Ledige stillingar, etter næring (SN2007), kvartal og statistikkvariabel"""
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K2"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K2"";""Ledige stillingar (prosent)"";1,9"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K2"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K3"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K3"";""Ledige stillingar (prosent)"";1,8"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K3"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K4"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K4"";""Ledige stillingar (prosent)"";1,9"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K4"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2012K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K1"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K1"";""Ledige stillingar (prosent)"";1,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K1"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K2"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K2"";""Ledige stillingar (prosent)"";2,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K2"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K3"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K3"";""Ledige stillingar (prosent)"";1,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K3"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K4"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K4"";""Ledige stillingar (prosent)"";1,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K4"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2013K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,4"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K1"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K1"";""Ledige stillingar (prosent)"";1,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K1"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K2"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K2"";""Ledige stillingar (prosent)"";1,4"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K2"";""Ledige stillingar, endring frå året før"";-200"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,7"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K3"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K3"";""Ledige stillingar (prosent)"";1,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K3"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K4"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K4"";""Ledige stillingar (prosent)"";1,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K4"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2014K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K1"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K1"";""Ledige stillingar (prosent)"";1,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K1"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K2"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K2"";""Ledige stillingar (prosent)"";1,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K2"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K3"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K3"";""Ledige stillingar (prosent)"";1,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K3"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K4"";""Ledige stillingar"";300"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K4"";""Ledige stillingar (prosent)"";0,9"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K4"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2015K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K1"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K1"";""Ledige stillingar (prosent)"";1,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K1"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K2"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K2"";""Ledige stillingar (prosent)"";1,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K2"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K3"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K3"";""Ledige stillingar (prosent)"";1,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K3"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K4"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K4"";""Ledige stillingar (prosent)"";1,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K4"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2016K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K1"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K1"";""Ledige stillingar (prosent)"";1,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K1"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K2"";""Ledige stillingar"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K2"";""Ledige stillingar (prosent)"";1,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K2"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K3"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K3"";""Ledige stillingar (prosent)"";1,4"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K3"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K4"";""Ledige stillingar"";300"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K4"";""Ledige stillingar (prosent)"";1,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K4"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2017K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K1"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K1"";""Ledige stillingar (prosent)"";1,7"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K1"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,4"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K2"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K2"";""Ledige stillingar (prosent)"";1,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K2"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K3"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K3"";""Ledige stillingar (prosent)"";1,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K3"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K4"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K4"";""Ledige stillingar (prosent)"";1,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K4"";""Ledige stillingar, endring frå året før"";200"
"""35-39 Elektrisitet, vatn og renovasjon"";""2018K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K1"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K1"";""Ledige stillingar (prosent)"";1,7"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K1"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K2"";""Ledige stillingar"";700"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K2"";""Ledige stillingar (prosent)"";2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K2"";""Ledige stillingar, endring frå året før"";200"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K3"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K3"";""Ledige stillingar (prosent)"";1,7"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K3"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K4"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K4"";""Ledige stillingar (prosent)"";1,4"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K4"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2019K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K1"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K1"";""Ledige stillingar (prosent)"";1,7"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K1"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K2"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K2"";""Ledige stillingar (prosent)"";1,8"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K2"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K3"";""Ledige stillingar"";500"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K3"";""Ledige stillingar (prosent)"";1,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K3"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,4"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K4"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K4"";""Ledige stillingar (prosent)"";1,7"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K4"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2020K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,4"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K1"";""Ledige stillingar"";700"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K1"";""Ledige stillingar (prosent)"";1,9"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K1"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K2"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K2"";""Ledige stillingar (prosent)"";1,8"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K2"";""Ledige stillingar, endring frå året før"";-"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K3"";""Ledige stillingar"";600"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K3"";""Ledige stillingar (prosent)"";1,7"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K3"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,4"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K4"";""Ledige stillingar"";700"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K4"";""Ledige stillingar (prosent)"";2,1"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K4"";""Ledige stillingar, endring frå året før"";100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2021K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K1"";""Ledige stillingar"";900"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K1"";""Ledige stillingar (prosent)"";2,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K1"";""Ledige stillingar, endring frå året før"";200"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K2"";""Ledige stillingar"";900"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K2"";""Ledige stillingar (prosent)"";2,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K2"";""Ledige stillingar, endring frå året før"";300"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,8"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K3"";""Ledige stillingar"";900"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K3"";""Ledige stillingar (prosent)"";2,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K3"";""Ledige stillingar, endring frå året før"";300"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,7"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K4"";""Ledige stillingar"";1100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K4"";""Ledige stillingar (prosent)"";3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K4"";""Ledige stillingar, endring frå året før"";400"
"""35-39 Elektrisitet, vatn og renovasjon"";""2022K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,9"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K1"";""Ledige stillingar"";1000"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K1"";""Ledige stillingar (prosent)"";2,8"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K1"";""Ledige stillingar, endring frå året før"";200"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K2"";""Ledige stillingar"";1200"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K2"";""Ledige stillingar (prosent)"";3,2"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K2"";""Ledige stillingar, endring frå året før"";300"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K3"";""Ledige stillingar"";1200"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K3"";""Ledige stillingar (prosent)"";2,9"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K3"";""Ledige stillingar, endring frå året før"";300"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,5"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K4"";""Ledige stillingar"";1000"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K4"";""Ledige stillingar (prosent)"";2,6"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K4"";""Ledige stillingar, endring frå året før"";-100"
"""35-39 Elektrisitet, vatn og renovasjon"";""2023K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,4"
"""41-43 Byggje- og anleggsverksemd"";""2010K1"";""Ledige stillingar"";3400"
"""41-43 Byggje- og anleggsverksemd"";""2010K1"";""Ledige stillingar (prosent)"";1,9"
"""41-43 Byggje- og anleggsverksemd"";""2010K1"";""Ledige stillingar, endring frå året før"";."
"""41-43 Byggje- og anleggsverksemd"";""2010K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""41-43 Byggje- og anleggsverksemd"";""2010K2"";""Ledige stillingar"";5200"
"""41-43 Byggje- og anleggsverksemd"";""2010K2"";""Ledige stillingar (prosent)"";2,9"
"""41-43 Byggje- og anleggsverksemd"";""2010K2"";""Ledige stillingar, endring frå året før"";."
"""41-43 Byggje- og anleggsverksemd"";""2010K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""41-43 Byggje- og anleggsverksemd"";""2010K3"";""Ledige stillingar"";5900"
"""41-43 Byggje- og anleggsverksemd"";""2010K3"";""Ledige stillingar (prosent)"";3,2"
"""41-43 Byggje- og anleggsverksemd"";""2010K3"";""Ledige stillingar, endring frå året før"";."
"""41-43 Byggje- og anleggsverksemd"";""2010K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""41-43 Byggje- og anleggsverksemd"";""2010K4"";""Ledige stillingar"";5600"
"""41-43 Byggje- og anleggsverksemd"";""2010K4"";""Ledige stillingar (prosent)"";3"
"""41-43 Byggje- og anleggsverksemd"";""2010K4"";""Ledige stillingar, endring frå året før"";."
"""41-43 Byggje- og anleggsverksemd"";""2010K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""41-43 Byggje- og anleggsverksemd"";""2011K1"";""Ledige stillingar"";5100"
"""41-43 Byggje- og anleggsverksemd"";""2011K1"";""Ledige stillingar (prosent)"";2,8"
"""41-43 Byggje- og anleggsverksemd"";""2011K1"";""Ledige stillingar, endring frå året før"";1800"
"""41-43 Byggje- og anleggsverksemd"";""2011K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,9"
"""41-43 Byggje- og anleggsverksemd"";""2011K2"";""Ledige stillingar"";5300"
"""41-43 Byggje- og anleggsverksemd"";""2011K2"";""Ledige stillingar (prosent)"";2,9"
"""41-43 Byggje- og anleggsverksemd"";""2011K2"";""Ledige stillingar, endring frå året før"";-"
"""41-43 Byggje- og anleggsverksemd"";""2011K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""41-43 Byggje- og anleggsverksemd"";""2011K3"";""Ledige stillingar"";4500"
"""41-43 Byggje- og anleggsverksemd"";""2011K3"";""Ledige stillingar (prosent)"";2,3"
"""41-43 Byggje- og anleggsverksemd"";""2011K3"";""Ledige stillingar, endring frå året før"";-1400"
"""41-43 Byggje- og anleggsverksemd"";""2011K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,9"
"""41-43 Byggje- og anleggsverksemd"";""2011K4"";""Ledige stillingar"";4800"
"""41-43 Byggje- og anleggsverksemd"";""2011K4"";""Ledige stillingar (prosent)"";2,5"
"""41-43 Byggje- og anleggsverksemd"";""2011K4"";""Ledige stillingar, endring frå året før"";-700"
"""41-43 Byggje- og anleggsverksemd"";""2011K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,5"
"""41-43 Byggje- og anleggsverksemd"";""2012K1"";""Ledige stillingar"";4700"
"""41-43 Byggje- og anleggsverksemd"";""2012K1"";""Ledige stillingar (prosent)"";2,4"
"""41-43 Byggje- og anleggsverksemd"";""2012K1"";""Ledige stillingar, endring frå året før"";-400"
"""41-43 Byggje- og anleggsverksemd"";""2012K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,4"
"""41-43 Byggje- og anleggsverksemd"";""2012K2"";""Ledige stillingar"";4100"
"""41-43 Byggje- og anleggsverksemd"";""2012K2"";""Ledige stillingar (prosent)"";2,1"
"""41-43 Byggje- og anleggsverksemd"";""2012K2"";""Ledige stillingar, endring frå året før"";-1200"
"""41-43 Byggje- og anleggsverksemd"";""2012K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,8"
"""41-43 Byggje- og anleggsverksemd"";""2012K3"";""Ledige stillingar"";4000"
"""41-43 Byggje- og anleggsverksemd"";""2012K3"";""Ledige stillingar (prosent)"";2"
"""41-43 Byggje- og anleggsverksemd"";""2012K3"";""Ledige stillingar, endring frå året før"";-500"
"""41-43 Byggje- og anleggsverksemd"";""2012K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""41-43 Byggje- og anleggsverksemd"";""2012K4"";""Ledige stillingar"";3900"
"""41-43 Byggje- og anleggsverksemd"";""2012K4"";""Ledige stillingar (prosent)"";1,9"
"""41-43 Byggje- og anleggsverksemd"";""2012K4"";""Ledige stillingar, endring frå året før"";-1000"
"""41-43 Byggje- og anleggsverksemd"";""2012K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,6"
"""41-43 Byggje- og anleggsverksemd"";""2013K1"";""Ledige stillingar"";4300"
"""41-43 Byggje- og anleggsverksemd"";""2013K1"";""Ledige stillingar (prosent)"";2,1"
"""41-43 Byggje- og anleggsverksemd"";""2013K1"";""Ledige stillingar, endring frå året før"";-400"
"""41-43 Byggje- og anleggsverksemd"";""2013K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""41-43 Byggje- og anleggsverksemd"";""2013K2"";""Ledige stillingar"";5600"
"""41-43 Byggje- og anleggsverksemd"";""2013K2"";""Ledige stillingar (prosent)"";2,7"
"""41-43 Byggje- og anleggsverksemd"";""2013K2"";""Ledige stillingar, endring frå året før"";1500"
"""41-43 Byggje- og anleggsverksemd"";""2013K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,7"
"""41-43 Byggje- og anleggsverksemd"";""2013K3"";""Ledige stillingar"";4400"
"""41-43 Byggje- og anleggsverksemd"";""2013K3"";""Ledige stillingar (prosent)"";2,1"
"""41-43 Byggje- og anleggsverksemd"";""2013K3"";""Ledige stillingar, endring frå året før"";300"
"""41-43 Byggje- og anleggsverksemd"";""2013K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""41-43 Byggje- og anleggsverksemd"";""2013K4"";""Ledige stillingar"";3400"
"""41-43 Byggje- og anleggsverksemd"";""2013K4"";""Ledige stillingar (prosent)"";1,6"
"""41-43 Byggje- og anleggsverksemd"";""2013K4"";""Ledige stillingar, endring frå året før"";-500"
"""41-43 Byggje- og anleggsverksemd"";""2013K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""41-43 Byggje- og anleggsverksemd"";""2014K1"";""Ledige stillingar"";4500"
"""41-43 Byggje- og anleggsverksemd"";""2014K1"";""Ledige stillingar (prosent)"";2,1"
"""41-43 Byggje- og anleggsverksemd"";""2014K1"";""Ledige stillingar, endring frå året før"";200"
"""41-43 Byggje- og anleggsverksemd"";""2014K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""41-43 Byggje- og anleggsverksemd"";""2014K2"";""Ledige stillingar"";4400"
"""41-43 Byggje- og anleggsverksemd"";""2014K2"";""Ledige stillingar (prosent)"";2,1"
"""41-43 Byggje- og anleggsverksemd"";""2014K2"";""Ledige stillingar, endring frå året før"";-1200"
"""41-43 Byggje- og anleggsverksemd"";""2014K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,7"
"""41-43 Byggje- og anleggsverksemd"";""2014K3"";""Ledige stillingar"";4000"
