"""næring (SN2007)"";""kvartal"";""statistikkvariabel"";""08771: Ledige stillingar, etter næring (SN2007), kvartal og statistikkvariabel"""
"""01-96 Alle næringar"";""2014K3"";""Ledige stillingar"";54100"
"""01-96 Alle næringar"";""2014K3"";""Ledige stillingar (prosent)"";2"
"""01-96 Alle næringar"";""2014K3"";""Ledige stillingar, endring frå året før"";-5000"
"""01-96 Alle næringar"";""2014K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""01-96 Alle næringar"";""2014K4"";""Ledige stillingar"";53700"
"""01-96 Alle næringar"";""2014K4"";""Ledige stillingar (prosent)"";2"
"""01-96 Alle næringar"";""2014K4"";""Ledige stillingar, endring frå året før"";2800"
"""01-96 Alle næringar"";""2014K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-96 Alle næringar"";""2015K1"";""Ledige stillingar"";60400"
"""01-96 Alle næringar"";""2015K1"";""Ledige stillingar (prosent)"";2,2"
"""01-96 Alle næringar"";""2015K1"";""Ledige stillingar, endring frå året før"";-1400"
"""01-96 Alle næringar"";""2015K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""01-96 Alle næringar"";""2015K2"";""Ledige stillingar"";62800"
"""01-96 Alle næringar"";""2015K2"";""Ledige stillingar (prosent)"";2,3"
"""01-96 Alle næringar"";""2015K2"";""Ledige stillingar, endring frå året før"";-2000"
"""01-96 Alle næringar"";""2015K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""01-96 Alle næringar"";""2015K3"";""Ledige stillingar"";49500"
"""01-96 Alle næringar"";""2015K3"";""Ledige stillingar (prosent)"";1,8"
"""01-96 Alle næringar"";""2015K3"";""Ledige stillingar, endring frå året før"";-4600"
"""01-96 Alle næringar"";""2015K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""01-96 Alle næringar"";""2015K4"";""Ledige stillingar"";45000"
"""01-96 Alle næringar"";""2015K4"";""Ledige stillingar (prosent)"";1,6"
"""01-96 Alle næringar"";""2015K4"";""Ledige stillingar, endring frå året før"";-8700"
"""01-96 Alle næringar"";""2015K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,4"
"""01-96 Alle næringar"";""2016K1"";""Ledige stillingar"";55300"
"""01-96 Alle næringar"";""2016K1"";""Ledige stillingar (prosent)"";2"
"""01-96 Alle næringar"";""2016K1"";""Ledige stillingar, endring frå året før"";-5100"
"""01-96 Alle næringar"";""2016K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""01-96 Alle næringar"";""2016K2"";""Ledige stillingar"";56200"
"""01-96 Alle næringar"";""2016K2"";""Ledige stillingar (prosent)"";2"
"""01-96 Alle næringar"";""2016K2"";""Ledige stillingar, endring frå året før"";-6600"
"""01-96 Alle næringar"";""2016K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""01-96 Alle næringar"";""2016K3"";""Ledige stillingar"";52300"
"""01-96 Alle næringar"";""2016K3"";""Ledige stillingar (prosent)"";1,9"
"""01-96 Alle næringar"";""2016K3"";""Ledige stillingar, endring frå året før"";2900"
"""01-96 Alle næringar"";""2016K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-96 Alle næringar"";""2016K4"";""Ledige stillingar"";48700"
"""01-96 Alle næringar"";""2016K4"";""Ledige stillingar (prosent)"";1,7"
"""01-96 Alle næringar"";""2016K4"";""Ledige stillingar, endring frå året før"";3700"
"""01-96 Alle næringar"";""2016K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-96 Alle næringar"";""2017K1"";""Ledige stillingar"";58300"
"""01-96 Alle næringar"";""2017K1"";""Ledige stillingar (prosent)"";2,1"
"""01-96 Alle næringar"";""2017K1"";""Ledige stillingar, endring frå året før"";3000"
"""01-96 Alle næringar"";""2017K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-96 Alle næringar"";""2017K2"";""Ledige stillingar"";65400"
"""01-96 Alle næringar"";""2017K2"";""Ledige stillingar (prosent)"";2,3"
"""01-96 Alle næringar"";""2017K2"";""Ledige stillingar, endring frå året før"";9200"
"""01-96 Alle næringar"";""2017K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""01-96 Alle næringar"";""2017K3"";""Ledige stillingar"";56700"
"""01-96 Alle næringar"";""2017K3"";""Ledige stillingar (prosent)"";2"
"""01-96 Alle næringar"";""2017K3"";""Ledige stillingar, endring frå året før"";4400"
"""01-96 Alle næringar"";""2017K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-96 Alle næringar"";""2017K4"";""Ledige stillingar"";58000"
"""01-96 Alle næringar"";""2017K4"";""Ledige stillingar (prosent)"";2"
"""01-96 Alle næringar"";""2017K4"";""Ledige stillingar, endring frå året før"";9300"
"""01-96 Alle næringar"";""2017K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""01-96 Alle næringar"";""2018K1"";""Ledige stillingar"";68400"
"""01-96 Alle næringar"";""2018K1"";""Ledige stillingar (prosent)"";2,4"
"""01-96 Alle næringar"";""2018K1"";""Ledige stillingar, endring frå året før"";10200"
"""01-96 Alle næringar"";""2018K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""01-96 Alle næringar"";""2018K2"";""Ledige stillingar"";75200"
"""01-96 Alle næringar"";""2018K2"";""Ledige stillingar (prosent)"";2,6"
"""01-96 Alle næringar"";""2018K2"";""Ledige stillingar, endring frå året før"";9800"
"""01-96 Alle næringar"";""2018K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""01-96 Alle næringar"";""2018K3"";""Ledige stillingar"";68400"
"""01-96 Alle næringar"";""2018K3"";""Ledige stillingar (prosent)"";2,3"
"""01-96 Alle næringar"";""2018K3"";""Ledige stillingar, endring frå året før"";11700"
"""01-96 Alle næringar"";""2018K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,4"
"""01-96 Alle næringar"";""2018K4"";""Ledige stillingar"";59700"
"""01-96 Alle næringar"";""2018K4"";""Ledige stillingar (prosent)"";2"
"""01-96 Alle næringar"";""2018K4"";""Ledige stillingar, endring frå året før"";1700"
"""01-96 Alle næringar"";""2018K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""01-96 Alle næringar"";""2019K1"";""Ledige stillingar"";75700"
"""01-96 Alle næringar"";""2019K1"";""Ledige stillingar (prosent)"";2,6"
"""01-96 Alle næringar"";""2019K1"";""Ledige stillingar, endring frå året før"";7300"
"""01-96 Alle næringar"";""2019K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""01-96 Alle næringar"";""2019K2"";""Ledige stillingar"";84500"
"""01-96 Alle næringar"";""2019K2"";""Ledige stillingar (prosent)"";2,9"
"""01-96 Alle næringar"";""2019K2"";""Ledige stillingar, endring frå året før"";9300"
"""01-96 Alle næringar"";""2019K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""01-96 Alle næringar"";""2019K3"";""Ledige stillingar"";65800"
"""01-96 Alle næringar"";""2019K3"";""Ledige stillingar (prosent)"";2,2"
"""01-96 Alle næringar"";""2019K3"";""Ledige stillingar, endring frå året før"";-2500"
"""01-96 Alle næringar"";""2019K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""01-96 Alle næringar"";""2019K4"";""Ledige stillingar"";63900"
"""01-96 Alle næringar"";""2019K4"";""Ledige stillingar (prosent)"";2,1"
"""01-96 Alle næringar"";""2019K4"";""Ledige stillingar, endring frå året før"";4200"
"""01-96 Alle næringar"";""2019K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,1"
"""01-96 Alle næringar"";""2020K1"";""Ledige stillingar"";71600"
"""01-96 Alle næringar"";""2020K1"";""Ledige stillingar (prosent)"";2,5"
"""01-96 Alle næringar"";""2020K1"";""Ledige stillingar, endring frå året før"";-4100"
"""01-96 Alle næringar"";""2020K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,2"
"""01-96 Alle næringar"";""2020K2"";""Ledige stillingar"";59900"
"""01-96 Alle næringar"";""2020K2"";""Ledige stillingar (prosent)"";2,1"
"""01-96 Alle næringar"";""2020K2"";""Ledige stillingar, endring frå året før"";-24700"
"""01-96 Alle næringar"";""2020K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,7"
"""01-96 Alle næringar"";""2020K3"";""Ledige stillingar"";59400"
"""01-96 Alle næringar"";""2020K3"";""Ledige stillingar (prosent)"";2,1"
"""01-96 Alle næringar"";""2020K3"";""Ledige stillingar, endring frå året før"";-6400"
"""01-96 Alle næringar"";""2020K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""01-96 Alle næringar"";""2020K4"";""Ledige stillingar"";60000"
"""01-96 Alle næringar"";""2020K4"";""Ledige stillingar (prosent)"";2,1"
"""01-96 Alle næringar"";""2020K4"";""Ledige stillingar, endring frå året før"";-3800"
"""01-96 Alle næringar"";""2020K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,1"
"""01-96 Alle næringar"";""2021K1"";""Ledige stillingar"";74600"
"""01-96 Alle næringar"";""2021K1"";""Ledige stillingar (prosent)"";2,6"
"""01-96 Alle næringar"";""2021K1"";""Ledige stillingar, endring frå året før"";3000"
"""01-96 Alle næringar"";""2021K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""01-96 Alle næringar"";""2021K2"";""Ledige stillingar"";101900"
"""01-96 Alle næringar"";""2021K2"";""Ledige stillingar (prosent)"";3,5"
"""01-96 Alle næringar"";""2021K2"";""Ledige stillingar, endring frå året før"";42000"
"""01-96 Alle næringar"";""2021K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";1,4"
"""01-96 Alle næringar"";""2021K3"";""Ledige stillingar"";92400"
"""01-96 Alle næringar"";""2021K3"";""Ledige stillingar (prosent)"";3"
"""01-96 Alle næringar"";""2021K3"";""Ledige stillingar, endring frå året før"";33000"
"""01-96 Alle næringar"";""2021K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";1"
"""01-96 Alle næringar"";""2021K4"";""Ledige stillingar"";86300"
"""01-96 Alle næringar"";""2021K4"";""Ledige stillingar (prosent)"";2,8"
"""01-96 Alle næringar"";""2021K4"";""Ledige stillingar, endring frå året før"";26300"
"""01-96 Alle næringar"";""2021K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,8"
"""01-96 Alle næringar"";""2022K1"";""Ledige stillingar"";104900"
"""01-96 Alle næringar"";""2022K1"";""Ledige stillingar (prosent)"";3,5"
"""01-96 Alle næringar"";""2022K1"";""Ledige stillingar, endring frå året før"";30400"
"""01-96 Alle næringar"";""2022K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,9"
"""01-96 Alle næringar"";""2022K2"";""Ledige stillingar"";118000"
"""01-96 Alle næringar"";""2022K2"";""Ledige stillingar (prosent)"";3,8"
"""01-96 Alle næringar"";""2022K2"";""Ledige stillingar, endring frå året før"";16100"
"""01-96 Alle næringar"";""2022K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""01-96 Alle næringar"";""2022K3"";""Ledige stillingar"";96000"
"""01-96 Alle næringar"";""2022K3"";""Ledige stillingar (prosent)"";3"
"""01-96 Alle næringar"";""2022K3"";""Ledige stillingar, endring frå året før"";3600"
"""01-96 Alle næringar"";""2022K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0"
"""01-96 Alle næringar"";""2022K4"";""Ledige stillingar"";108500"
"""01-96 Alle næringar"";""2022K4"";""Ledige stillingar (prosent)"";3,4"
"""01-96 Alle næringar"";""2022K4"";""Ledige stillingar, endring frå året før"";22100"
"""01-96 Alle næringar"";""2022K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,6"
"""01-96 Alle næringar"";""2023K1"";""Ledige stillingar"";136200"
"""01-96 Alle næringar"";""2023K1"";""Ledige stillingar (prosent)"";4,3"
"""01-96 Alle næringar"";""2023K1"";""Ledige stillingar, endring frå året før"";31200"
"""01-96 Alle næringar"";""2023K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,9"
"""01-96 Alle næringar"";""2023K2"";""Ledige stillingar"";128100"
"""01-96 Alle næringar"";""2023K2"";""Ledige stillingar (prosent)"";4"
"""01-96 Alle næringar"";""2023K2"";""Ledige stillingar, endring frå året før"";10100"
"""01-96 Alle næringar"";""2023K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,3"
"""01-96 Alle næringar"";""2023K3"";""Ledige stillingar"";110300"
"""01-96 Alle næringar"";""2023K3"";""Ledige stillingar (prosent)"";3,5"
"""01-96 Alle næringar"";""2023K3"";""Ledige stillingar, endring frå året før"";14300"
"""01-96 Alle næringar"";""2023K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,4"
"""01-96 Alle næringar"";""2023K4"";""Ledige stillingar"";98000"
"""01-96 Alle næringar"";""2023K4"";""Ledige stillingar (prosent)"";3,1"
"""01-96 Alle næringar"";""2023K4"";""Ledige stillingar, endring frå året før"";-10500"
"""01-96 Alle næringar"";""2023K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";-0,3"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K1"";""Ledige stillingar"";300"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K1"";""Ledige stillingar (prosent)"";1"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K1"";""Ledige stillingar, endring frå året før"";."
"""01-03 Jordbruk, skogbruk og fiske"";""2010K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""01-03 Jordbruk, skogbruk og fiske"";""2010K2"";""Ledige stillingar"";500"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K2"";""Ledige stillingar (prosent)"";1,5"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K2"";""Ledige stillingar, endring frå året før"";."
"""01-03 Jordbruk, skogbruk og fiske"";""2010K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""01-03 Jordbruk, skogbruk og fiske"";""2010K3"";""Ledige stillingar"";300"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K3"";""Ledige stillingar (prosent)"";0,9"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K3"";""Ledige stillingar, endring frå året før"";."
"""01-03 Jordbruk, skogbruk og fiske"";""2010K3"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""01-03 Jordbruk, skogbruk og fiske"";""2010K4"";""Ledige stillingar"";200"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K4"";""Ledige stillingar (prosent)"";0,7"
"""01-03 Jordbruk, skogbruk og fiske"";""2010K4"";""Ledige stillingar, endring frå året før"";."
"""01-03 Jordbruk, skogbruk og fiske"";""2010K4"";""Ledige stillingar, endring i prosentpoeng frå året før"";."
"""01-03 Jordbruk, skogbruk og fiske"";""2011K1"";""Ledige stillingar"";600"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K1"";""Ledige stillingar (prosent)"";1,8"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K1"";""Ledige stillingar, endring frå året før"";300"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K1"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,8"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K2"";""Ledige stillingar"";500"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K2"";""Ledige stillingar (prosent)"";1,7"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K2"";""Ledige stillingar, endring frå året før"";-"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K2"";""Ledige stillingar, endring i prosentpoeng frå året før"";0,2"
"""01-03 Jordbruk, skogbruk og fiske"";""2011K3"";""Ledige stillingar"";900"
